id,user,timestamp,commentText
UgzwGs9r8XXiEJNSFSF4AaABAg,Langkopf Kopf,1534798936404,"Fuck, that internet university sounds like future porn"
UgyaGUdAs1AzNzkphqV4AaABAg,darren. davies,1534744936410,"It's Utnapishtim and the ark in the original poem of Gilgamesh,not Noah interesting that one should not steal but bullshitting is OK"
Ugzy8HFZlXfARQ9Cf5F4AaABAg,Mark Caporale,1534561336416,"""The fundamental reality of things is complexity beyond comprehension... "" followed by an explanation of the importance of routine 24:38"
Ugz4eI9E8-s5lxFogJl4AaABAg,Mark Caporale,1534474936426,The importance of having a goal beginning @ 1:16:08
UgyFJYVlU0j_tXv7T5d4AaABAg,goldeare2,1534474936434,31:12 I find some similarities between how Dr. Peterson is describing the social interactions for maintaining sanity and how block chain technology works. I find that very odd
UgzkkpzE1hYzEb5-fMV4AaABAg,Rogue Jedi,1534302136440,"2:14:52 ""No one ever writes a best selling book."" Proceeds to write a best-selling book. I love this man."
UgxDyDQhTGlHReG7y8V4AaABAg,Pablo Valle,1534215736446,"So according to Dr. Peterson if you live with someone and you're not married you don't love the person enough, man that's tough to swallow, might be true for most cases but not all, anyway Peterson loves to make this kind of generalizations, he is one good provocateur"
UgzmzgGsCgqcVpb5H0h4AaABAg,wynotme dallon,1534215736456,"I told a friend about Dr Peterson, he said he would check him out.
I saw him later and he said,""he is a nut case, I can't understand what he is talking about.""
We listened together for about 15 minutes. He said,""See! What did he say?""
As I explained it, I realize he was not literate enough to understand the words, but he was intellectual enough to understand only if I interpreted the words into 4th grade language.
If you think Dr Petersen takes a long time to get points across, try using many words to explain each big word. Tedious doesn't say it all.
Thank you Dr Petersen for your shirt lectures."
UgyBK2zk_Ty44TfyDGd4AaABAg,Jamie Nelson,1534215736460,"2:18:25 YES! Seriously, yes, yes, yes. This could actually, literally change the world. Maybe start at 2:11:55.  An educated populace is a more sane, more stable populace that would stand a far better chance of acting in its own best interest. For example, voting in its own best interest, amongst other things!"
UgwUVR4-HGFgYq_NG3J4AaABAg,SeouL,1534215736468,"""Beware of wisdom that you didn't earn"""
UgwHTIH3tNzyaACHOIN4AaABAg,Edgar Perez,1533610936475,"Very interesting, why were the animals saved?"
Ugw99Hy4Y97_zoqHn5h4AaABAg,Jrock23332,1533610936526,"I received free medical treatment at a teaching hospital because of my rare case of necrotizing pancreatitis. Speaking of dmt trips, I spent 28 days on life support on propofol. It took a while to accept that the month of memories i have mostly never happened. Thank you Dr. Peterson for the help that you don't even know you're providing me. Getting back out in the world is very difficult."
UgwydVnPyxKo6B8uq4R4AaABAg,Oscar Geronimo,1533610936534,"He starts to talk about The Flood after 1:44:00. But is all justified: this whole lecture is not intended to be simply a retelling of the story of the flood... it is actually an excuse or pivot to lay the grounds for an embodied theory (or reflection at least) of existence from the philosophical, evolutionary and psychological data and knowledge accumulated, and to use that to understand how ancient mythology reveal that, in this case applied to the myths of floods as representatives of the nature of how desastres in human life emerge by the nature of existence (all decays on it's own, entropy) and helped by corruption in ourselves and our society.
Some personal notes:
48:03
1:25:47 ""The chaos is hiding in what is irrelevant"".
1:26:56 When relationships fall.  ""There are certain things that you can encounter that can basically unglue you"".
1:29:31 [...] Your performance...
""....You don't know: it's all of those things at once. Ans that's very stressful because all of those things at one is too many things. And that's the re-emergence of chaos. That's the flood. That's the return to the beginning of the cosmos. That's another way that it's been represented mythologically is: you voyage all the way back to the beginning of the cosmos when there's nothing but undifferentiated chaos. And THAT'S what you're confronting. And maybe it's too much for you and often it is, I mean, that can be TRAUMATIZING, it can HURT your brain, it's just too much for you to bare. it doesn't matter, you're stuck with it...""
1:51:40 Eliade's analysis of flood myths analogical with the maintenance of relationships."
UgxWb_CMIq1qoJxIhjN4AaABAg,Bookwyrm,1533610936540,"1:29:00 - that point where JBP almost goes full ""riddle of steel"" :-D"
UgzBJnWd-DLtyNgrah14AaABAg,jona nylund,1533610936549,"""Pain is inevitable, suffering is optional"". Tradegy is inevitable, it's up to one and other not to make it hellish."
Ugw8LoEcquRzsnGgqcZ4AaABAg,Ross McAlpine,1533006136555,"Dr Peterson, I’d love to see you do a similar lecture series on the importance of the works (particularly the non-fiction) of George Orwell."
UgywZ0ODK1VyoFciiZd4AaABAg,simonieux,1533006136562,"I would like to listen your analysis of the games of throne series, with the ""winter is coming"" resonates with the noah preparing to the end of the world . Thanks for these resources free online :)"
Ugx9siK5oWTvj0wWJLt4AaABAg,RBelschner,1533006136571,2:26:00
UgyJusq3MiNW0QKYXox4AaABAg,NolanEP84,1532401336580,"Just because someone doesn't want to marry another doesn't mean they aren't into them or don't love them as much as anyone else who does get married. It's a total non sequitur. Some just aren't interested in that institution or idea. One could argue that true love would be not to burden one another with a contractual restraint that basically says ""I don't really trust you to stay with me otherwise and this document says that you must."" Giving someone complete freedom to leave if they wish and to desire happiness for them without conditions of remaining with you, that's actual love, as well as respect of their sovereignty and human dignity. People forget that marriage was created minus the notion of romance, but rather was for practical purposes. It actually has very little to nothing to do with love."
UgzEtSeSRPPF6c9CryV4AaABAg,D MatLeo,1532142136587,2:06:00 (bm)
UgxxxNpUQFeOEJ6OrGl4AaABAg,Dick S. Ding,1532142140317,I love you Dr. Peterson.
UgwQz6KEybAzFEREs9d4AaABAg,FountainOf Light,1532142140327,I would be thrilled to raid Peterson's bookshelf. He's right though; the most stressful part of my day is having to figure out what to make for dinner.
UgyqVYoNeGajKf-WjrN4AaABAg,John Massari,1532142140330,48:30 - 50 Very profound. Very helpful.
UgyYxygRZn_LG8VFPNd4AaABAg,Nick Alexeev,1532142140339,I count Augean stables [one of the labors of Hercules] is an ancient Greek flood myth.  The point of the legend is that flood deals with entropy which had accumulated because of neglect.  Hercules uses a small-scale flood as a tool (whereas Noah is conscientious survivor).
Ugy9k6pVx0Vum33Vz_l4AaABAg,Ian Witucki,1532142140342,"JPB is genuine, sincere, honest, and humble. That, to me, is true honor."
UgyBq4n3HY58d8aAXex4AaABAg,Rodney Johnson,1532142140350,"I wish Jordan could teach about the psychology after Noah's flood without introducing so called billions of years of Evolution. It does nothing to help. I wish he would just use the words nature or the creation, etc.... Those words would work better."
Ugzpf1_v1RIKtBjslPd4AaABAg,Life was Given to us,1532142140354,"The way he makes a parallel with New Orleans and the Noah story is incredible.

Also, His online university sounds great, I hope it works out."
Ugyl53tWgUgRDmlEC1h4AaABAg,Wally Iverson,1532142140361,Going soon!
