id,user,timestamp,commentText
UgwGCycd20u936nVAqd4AaABAg,R-monk Antonii,1534648392618,The many-colored coat is showing the multi-faceted skillset of virtues he embodies.
Ugzt6pTlaKNc0c6phgl4AaABAg,Bob Stephens,1534648392629,"Hey Doc - I really have enjoyed this course! Wish we had profs like in university back my college days. I graduated w a BS May 1980 wirh a specialty in RTF ^^- a production tip - ask your audio guy.girl  to be sure they male a final pass thru the lecture in order to ""sweeten"" the audio levels. when you get fired up in your talk, the audio tends to over modulate. This would add a layer of quality to your digital assets. TYVM for all you do to mentor young men. Their fathers have been absent. There has been no one to initiate them to manhood."
UgxnfksT2tgY5fTffHt4AaABAg,thomas blevins,1534389192635,"The thing is, you don’t stress that it was God that made all of this happen.  God was with Joseph, it wasn’t of his own will."
UgwWruVaYFAY-acxsfx4AaABAg,InspireDiscipline,1534216392643,Great Video By all Standards
Ugy7wU1QR1ahrOtIbEF4AaABAg,Diego Fernandes,1533611592652,I know you've been busy lately Dr. Peterson but when will you be doing Exodus?
UgxcXQpqZcc5LyaFeFp4AaABAg,Nathan Thompson,1533611592658,Preach at the people's church in toronto?
UgxlGS61Svr2JFYvRnJ4AaABAg,Snake and Dove,1533611592665,Cheers from a guy listening to it while working washing dishes ;)
Ugypy-5eNHze6gLJBhN4AaABAg,Mark Henderson,1533611592674,Truth moab 10:50
UgzpCzGD45dOwviGaM94AaABAg,Bookwyrm,1533006792684,The early Israelites really are pretty scummy... O.o
Ugxc3Uzc8pX0Tnv9Sw54AaABAg,Squirrel,1533006792696,Thank you Mr Peterson.
UgxfBHJbJLaFKDFHmGl4AaABAg,Nian,1533006792705,"I saw through all the lectures of the Biblical Series. What a genius. To present this to the audience, to the world. It is a gift. From you, to us Dr Peterson. I know you've inspired me, and I am sure you've inspired many others, and many more to come. And the greatest example of proper being is not from the examples cited from the Bible, it is from you Dr Peterson.

Thank you"
UgwKvAHlAkYFaP_-5uF4AaABAg,Kristophe Louise,1532401992710,"This is too analytical 4 me. I shut it down at 37.46 because it is too impersonal.
All his lectures are ultimately his interpretation. And people can, if they want, confront themselves to these Old Testament characters and be changed."
Ugyevv545HEoHM12K9l4AaABAg,Kristophe Louise,1532401992719,"Coat of many colours. Joseph was loved, lavished with love and attention and his half brothers were not. So they stripped him bare. Symbolically stripped him of his father's love and sold them as a slave so that he would experience what they had endured.
Basically they themselves did not feel loved by their father (just like their mom did) and Jacob, to them, was more a slave master."
